2020-7-31 4:21:11,27.3,99.9
2020-7-31 4:22:11,27.4,99.9
2020-7-31 4:23:11,27.3,99.9
2020-7-31 4:24:11,27.1,99.9
2020-7-31 4:25:11,26.9,99.9
2020-7-31 4:26:11,26.8,99.9
2020-7-31 4:27:11,26.9,99.9
2020-7-31 4:28:11,27.1,99.9
2020-7-31 4:29:11,27.1,99.9
2020-7-31 4:30:12,27.3,99.9
2020-7-31 4:31:11,27.3,99.9
2020-7-31 4:32:11,27.3,99.9
2020-7-31 4:33:11,27.3,99.9
2020-7-31 4:34:11,27.2,99.9
2020-7-31 4:35:11,27,99.9
2020-7-31 4:36:12,26.9,99.9
2020-7-31 4:37:11,26.9,99.9
2020-7-31 4:38:11,27,99.9
2020-7-31 4:39:11,27.1,99.9
2020-7-31 4:40:11,27.2,99.9
2020-7-31 4:41:11,27.2,99.9
2020-7-31 4:42:12,27.3,99.9
2020-7-31 4:43:11,27.3,99.9
2020-7-31 4:44:12,27.3,99.9
2020-7-31 4:45:12,27.2,99.9
2020-7-31 4:46:12,27.2,99.9
2020-7-31 4:47:12,27,99.9
2020-7-31 4:48:12,27.1,99.9
2020-7-31 4:49:12,27.1,99.9
2020-7-31 4:50:12,27.2,99.9
2020-7-31 4:51:12,27.3,99.9
2020-7-31 4:52:12,27.3,99.9
2020-7-31 4:53:12,27.3,99.9
2020-7-31 4:54:12,27.3,99.9
2020-7-31 4:55:12,27.4,99.9
2020-7-31 4:56:12,27.3,99.9
2020-7-31 4:57:12,27.1,99.9
2020-7-31 4:58:12,26.9,99.9
2020-7-31 4:59:12,26.9,99.9
2020-7-31 5:0:12,27,99.9
2020-7-31 5:1:12,27.1,99.9
2020-7-31 5:2:12,27.1,99.9
2020-7-31 5:3:13,27.2,99.9
2020-7-31 5:4:12,27.2,99.9
2020-7-31 5:5:12,27.3,99.9
2020-7-31 5:6:12,27.3,99.9
2020-7-31 5:7:12,27.3,99.9
2020-7-31 5:8:12,27.1,99.9
2020-7-31 5:9:12,26.9,99.9
2020-7-31 5:10:12,27,99.9
2020-7-31 5:11:12,27.1,99.9
2020-7-31 5:12:12,27.2,99.9
2020-7-31 5:13:12,27.2,99.9
2020-7-31 5:14:12,27.2,99.9
2020-7-31 5:15:12,27.3,99.9
2020-7-31 5:16:13,27.3,99.9
2020-7-31 5:17:13,27.3,99.9
2020-7-31 5:18:13,27.3,99.9
2020-7-31 5:19:13,27.1,99.9
2020-7-31 5:20:13,27,99.9
2020-7-31 5:21:13,26.9,99.9
2020-7-31 5:22:13,27.1,99.9
2020-7-31 5:23:13,27.1,99.9
2020-7-31 5:24:13,27.2,99.9
2020-7-31 5:25:13,27.2,99.9
2020-7-31 5:26:13,27.2,99.9
2020-7-31 5:27:13,27.3,99.9
2020-7-31 5:28:13,27.2,99.9
2020-7-31 5:29:13,27,99.9
2020-7-31 5:30:13,27,99.9
2020-7-31 5:31:14,26.9,99.9
2020-7-31 5:32:13,26.9,99.9
2020-7-31 5:33:13,26.9,99.9
2020-7-31 5:34:13,27,99.9
2020-7-31 5:35:13,27.1,99.9
2020-7-31 5:36:13,27.1,99.9
2020-7-31 5:37:13,27.2,99.9
2020-7-31 5:38:14,27.3,99.9
2020-7-31 5:39:14,27.3,99.9
2020-7-31 5:40:13,27.3,99.9
2020-7-31 5:41:13,27.1,99.9
2020-7-31 5:42:13,26.9,99.9
2020-7-31 5:43:13,26.9,99.9
2020-7-31 5:44:14,27.1,99.9
2020-7-31 5:45:13,27.1,99.9
2020-7-31 5:46:13,27.2,99.9
2020-7-31 5:47:13,27.2,99.9
2020-7-31 5:48:13,27.2,99.9
2020-7-31 5:49:14,27.2,99.9
2020-7-31 5:50:14,27.2,99.9
2020-7-31 5:51:14,27.1,99.9
2020-7-31 5:52:14,26.9,99.9
2020-7-31 5:53:14,26.8,99.9
2020-7-31 5:54:14,26.9,99.9
2020-7-31 5:55:14,26.9,99.9
2020-7-31 5:56:14,27,99.9
2020-7-31 5:57:14,27.1,99.9
2020-7-31 5:58:14,27.1,99.9
2020-7-31 5:59:14,27.2,99.9
2020-7-31 6:0:14,27.2,99.9
2020-7-31 6:1:14,27.3,99.9
2020-7-31 6:2:14,27.2,99.9
2020-7-31 6:3:14,27.1,99.9
2020-7-31 6:4:14,26.9,99.9
2020-7-31 6:5:14,26.9,99.9
2020-7-31 6:6:14,26.9,99.9
2020-7-31 6:7:14,27,99.9
2020-7-31 6:8:15,27.1,99.9
2020-7-31 6:9:15,27.2,99.9
2020-7-31 6:10:14,27.2,99.9
2020-7-31 6:11:14,27.2,99.9
2020-7-31 6:12:14,27.3,99.9
2020-7-31 6:13:14,27.3,99.9
2020-7-31 6:14:14,27.2,99.9
2020-7-31 6:15:14,27,99.9
2020-7-31 6:16:15,26.9,99.9
2020-7-31 6:17:15,26.9,99.9
2020-7-31 6:18:15,27,99.9
2020-7-31 6:19:15,27,99.9
2020-7-31 6:20:15,27.1,99.9
2020-7-31 6:21:15,27.1,99.9
2020-7-31 6:22:15,27.2,99.9
2020-7-31 6:23:15,27.3,99.9
2020-7-31 6:24:15,27.2,99.9
2020-7-31 6:25:15,27,99.9
2020-7-31 6:26:15,27,99.9
2020-7-31 6:27:15,26.8,99.9
2020-7-31 6:28:15,26.8,99.9
2020-7-31 6:29:15,26.9,99.9
2020-7-31 6:30:15,27.1,99.9
2020-7-31 6:31:16,27.1,99.9
2020-7-31 6:32:15,27.1,99.9
2020-7-31 6:33:15,27.2,99.9
2020-7-31 6:34:15,27.2,99.9
2020-7-31 6:35:16,27.2,99.9
2020-7-31 6:36:16,27,99.9
2020-7-31 6:37:16,26.8,99.9
2020-7-31 6:38:15,26.8,99.9
2020-7-31 6:39:15,26.8,99.9
2020-7-31 6:40:15,26.9,99.9
2020-7-31 6:41:15,27,99.9
2020-7-31 6:42:15,27,99.9
2020-7-31 6:43:16,27.1,99.9
2020-7-31 6:44:16,27.1,99.9
2020-7-31 6:45:16,27.2,99.9
2020-7-31 6:46:16,27.2,99.9
2020-7-31 6:47:16,27.1,99.9
2020-7-31 6:48:16,27,99.9
2020-7-31 6:49:16,26.7,99.9
2020-7-31 6:50:16,26.7,99.9
2020-7-31 6:51:16,26.7,99.9
2020-7-31 6:52:16,26.8,99.9
2020-7-31 6:53:16,26.9,99.9
2020-7-31 6:54:16,27.1,99.9
2020-7-31 6:55:16,27.1,99.9
2020-7-31 6:56:16,27.2,99.9
2020-7-31 6:57:16,27.3,99.9
2020-7-31 6:58:16,27.3,99.9
2020-7-31 6:59:16,27.3,99.9
